wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q108038959,BASSILEKIN III Achille,Achille Bassilekin III,male,1969-03-20,11,https://www.spm.gov.cm/site/?q=en/content/prime-minister%E2%80%99s-cabinet,2021-11-29,Q109804013,"Minister of Small and Medium Sized Enterprises, Social Economy and Handicrafts",2019-01-04,Q108038959-D49B14B1-3F88-4F12-974D-1250CEFF656E
Q109801616,MBAIROBE Gabriel,Gabriel Mbairobe,male,,,https://www.spm.gov.cm/site/?q=en/content/prime-minister%E2%80%99s-cabinet,2021-11-29,Q109801701,Minister of Agriculture and Rural Development,2019-01-04,Q109801616-BAE403B5-3D3F-40E9-93CA-26E62C2B89F0
Q109801724,ELANGA OBAM Géorges,Georges Elanga Obam,male,1961-10-21,11,https://www.spm.gov.cm/site/?q=en/content/prime-minister%E2%80%99s-cabinet,2021-11-29,Q109801725,Minister of Decentralization and Local Development,2019-01-04,Q109801724-63040F88-9DAD-45CB-8783-03C9A2756F20
Q109801746,Dr. TAÏGA,Dr Taïga,male,1960-04-19,11,https://www.spm.gov.cm/site/?q=en/content/prime-minister%E2%80%99s-cabinet,2021-11-29,Q109801747,Minister of Livestock Fisheries and Animal Industries,2019-01-04,Q109801746-23785B42-C142-4D1F-AF71-7C3C9BF5963F
Q109801766,ELOUNDOU ESSOMBA Gaston,Gaston Eloundou Essomba,male,,,https://www.spm.gov.cm/site/?q=en/content/prime-minister%E2%80%99s-cabinet,2021-11-29,Q109801768,Minister of Energy and Water Ressources,2019-01-04,Q109801766-03B6C308-691A-473A-AB0A-82C2E58D1754
Q109803969,LE Joseph,Joseph Le,male,,,https://www.spm.gov.cm/site/?q=en/content/prime-minister%E2%80%99s-cabinet,2021-11-29,Q109803970,Minister of Public Service and Administrative Reforms,2019-01-04,Q109803969-CB4E74CF-6D13-47FA-A3EA-5F7FD1E36D02
Q109804006,DODO NDOKE Gabriel,Gabriel Dodo Ndoke,male,,,https://www.spm.gov.cm/site/?q=en/content/prime-minister%E2%80%99s-cabinet,2021-11-29,Q109804008,"Minister of Mines, Industries and Technological Development",2011-12-09,Q109804006-F865D7FF-C299-465A-AB35-14E5409314D0
Q109804040,MANAOUDA Malachie,Manaouda Malachie,male,,,https://www.spm.gov.cm/site/?q=en/content/prime-minister%E2%80%99s-cabinet,2021-11-29,Q99284928,Minister of Public Health,2019-01-04,Q109804040-4BFF00A5-C04B-4463-9497-63130DCF6AB9
Q109804077,NGALLE BIBEHE Jean Ernest Massena,Ernest Ngalle Bibehe,male,1962-03-09,11,https://www.spm.gov.cm/site/?q=en/content/prime-minister%E2%80%99s-cabinet,2021-11-29,Q109804078,Minister of Transport,2018-03-03,Q109804077-90C80C8B-DEB6-457E-BC84-94C10D743DAB
Q109804250,BALUNGELI Confiance EBUNE,Balungeli Confiance Ebune,male,1969-09-01,11,https://www.spm.gov.cm/site/?q=en/content/prime-minister%E2%80%99s-cabinet,2021-11-29,Q109804251,Director of the Prime Minister’s Cabinet,2019-01-17,Q109804250-1390799F-F8AA-4344-A713-F009D5EA2008
Q111364198,Fuh Calistus Gentry,Fuh Calistus Gentry,,,,,,Q111387766,Secretary of State to the Minister of Mines,2019-01-04,Q111364198-B9BC63F6-EC39-4806-889E-33823DCE5B81
Q111387122,Ibrahim Talba Malla,Ibrahim Talba Malla,male,,,,,Q111387124,Minister Delegate at the Presidency in charge of Public Contracts,2019-01-04,Q111387122-5F753539-F959-42BF-9AA4-E5622D302B60
Q111387260,Clementine Ananga Messina,Clementine Ananga Messina,,,,,,Q111387263,Minister Delegate to the Minister of Agriculture and Rural Development,2019-01-04,Q111387260-C84419AA-BEC7-4526-A31C-4CFA72CAAB8B
Q111387323,Paul Tasong Chutang,Paul Tasong Chutang,,,,,,Q111387325,Minister Delegate to the Minister of Economy,2019-01-04,Q111387323-88F984CA-C46E-4258-B00C-E90B2F873B8E
Q111387367,Nana Aboubakar Djalloh,Nana Aboubakar Djalloh,,,,,,Q111387370,Minister Delegate to the Minister of the Environment,2019-01-04,Q111387367-4E246B30-248C-44E3-B4CE-4E6E968EB4AD
Q111387394,Yaouba Abdoulaye,Yaouba Abdoulaye,,,,,,Q111387395,Minister Delegate to the Minister of Finance,2019-01-04,Q111387394-57C4CBBE-D0BB-4FB6-861B-311C3F53C017
Q111387456,Felix Mbayu,Felix Mbayu,,,,,,Q111387459,Minister Delegate to the Minister of External Relations in charge of Commomwealth Relations,2019-01-04,Q111387456-A5CD314D-0F87-4074-881B-0F2E9ED206DC
Q111387509,Zakariaou Njoya,Zakariaou Njoya,,,,,,Q111387510,Minister Delegate to the Minister of Transport,2019-01-04,Q111387509-F4C26EDA-4093-4F6E-8CA3-FF634D52F433
Q111387685,Paul Mingo Ghogomu,Paul Mingo Ghogomu,,,,,,Q111386211,Minister in charge of Special Duties at the Presidency,2019-01-04,Q111387685-60F4E6EF-852A-4DFF-A609-18A3C491F638
Q111387687,Benoît Ndong Soumhet,Benoît Ndong Soumhet,,,,,,Q111386211,Minister in charge of Special Duties at the Presidency,2019-01-04,Q111387687-7ED034F1-FDF7-4B63-9E4F-A5516521C0F0
Q111387688,Victor Arrey Nkongho Mengot,Victor Arrey Nkongho Mengot,,,,,,Q111386211,Minister in charge of Special Duties at the Presidency,2019-01-04,Q111387688-6D2D60C2-5DFE-4E0E-87D6-14E1E3BE38EB
Q111387736,Issa Koumpa,Issa Koumpa,,,,,,Q111387737,Secretary of State to the Minister of Defence in charge of Veterans,2019-01-04,Q111387736-C3A78805-BF4F-4143-A4D2-EB6CF0BD8C80
Q111387743,Galax Yves Landry Etoga,Galax Yves Landry Etoga,,,,,,Q111387744,Secretary of State to the Minister of Defence in charge of the National Gendarmerie,2019-01-04,Q111387743-658F84A1-6C1C-4887-9EAE-D8FD359EB51F
Q111387748,Vivian Asheri Kilo,Vivian Asheri Kilo,,,,,,Q111387749,Secretary of State to the Minister of Basic Education,2019-01-04,Q111387748-3E3D6CB8-3F9F-41DA-B256-67B524B24735
Q111387753,Boniface Bayola,Boniface Bayola,,,,,,Q111387755,Secretary of State to the Minister of Secondary Education,2019-01-04,Q111387753-E0881CB2-8833-4E37-B117-45E24FC7F7AF
Q111387756,Koulsoumi Alhadji épouse Boukar,Koulsoumi Alhadji épouse Boukar,,,,,,Q111387757,Secretary of State to the Minister of Forestry and Wildlife,2019-01-04,Q111387756-0C5F02C0-9A10-4E9E-8F46-3BDFD8885E30
Q111387760,Marie Rose Dibong née Biyong,Marie Rose Dibong née Biyong,,,,,,Q111387761,Secretary of State to the Minister of Housing and Urban Development in charge of Housing,2019-01-04,Q111387760-C7D835E9-07A6-4C4D-87BF-A7ACA566234B
Q111387762,Jérôme Penbaga Dooh,Jérôme Penbaga Dooh,,,,,,Q111387763,Secretary of State to the Minister of Justice in charge of Prisons,2019-01-04,Q111387762-74DE54FB-85D0-480D-A3DF-1CA5AA5AD197
Q111387768,Alim Hayatou,Alim Hayatou,,,,,,Q111387769,Secretary of State to the Minister of Health,2019-01-04,Q111387768-E58F0547-B0C0-4ABE-B544-DA9B1F9D2E08
Q111387770,Armand Ndjodom,Armand Ndjodom,,,,,,Q111387771,Secretary of State to the Minister of Public Works,2019-01-04,Q111387770-577DB19B-E260-421A-8A26-F9FF57FF9470
Q111387793,Eloung Paul Che,Eloung Paul Che,,,,,,Q111387794,Deputy Secretary General at The Presidency,2019-01-04,Q111387793-4AA30845-4048-43FE-A1CD-FAF6D5B1FEA4
