name,item,party,partyLabel,area,areaLabel,position
AMOUGOU EKOMAN Marcel D.,,Q953447,RDPC,Q857122,SUD,
AMOUGOU NKOLO Jean Pierre,,Q953447,RDPC,Q857122,SUD,
AMOUGOU NOMA Nicolas,,Q953447,RDPC,Q739951,CENTRE,
AMRAKAYE Martin,,Q953447,RDPC,Q823976,EXTREME NORD,
ANDZE ANDZE Emile,,Q953447,RDPC,Q739951,CENTRE,
ANYANGWE A. Christopher,,Q1470113,SDF,Q823946,NORD OUEST,
ASSENE NKOU,,Q953447,RDPC,Q739951,CENTRE,
ATEAWUNG FOJU Bernard,,Q953447,RDPC,Q607499,SUD OUEST,
AVA AVA Joseph Emmanuel Christian,,Q953447,RDPC,Q739951,CENTRE,
AWUDU MBAYA Cyprian,,Q1470113,SDF,Q823946,NORD OUEST,
AYAH Paul ABINE,,Q953447,RDPC,Q607499,SUD OUEST,
AYUK ARREY Peter,,Q953447,RDPC,Q607499,SUD OUEST,
BANADZEM Joseph LUKONG,,Q1470113,SDF,Q823946,NORD OUEST,
BANGSI Emmanuel,,Q1470113,SDF,Q823946,NORD OUEST,
BAORO Théophile,,Q953447,RDPC,Q351514,ADAMAOUA,
